Census Tract,County,Number of Families,Number of Families in Poverty,Percentage of Families in Poverty
806.02,Douglas,1524.00,116.00,7.6
9101.03,Carroll,1258.00,97.00,7.7
905.01,Cherokee,1715.00,133.00,7.8
505.29,Gwinnett,1033.00,82.00,7.9
85,Fulton,495.00,39.00,7.9
907.01,Cherokee,5390.00,427.00,7.9
91.02,Fulton,446.00,35.00,7.9
9110,Carroll,1591.00,131.00,8.2
9203.01,Bryan,559.00,46.00,8.2
911.02,Cherokee,2195.00,184.00,8.4
502.19,Gwinnett,963.00,82.00,8.5
504.26,Gwinnett,1880.00,161.00,8.6
507.15,Gwinnett,1495.00,128.00,8.6
704.03,Henry,2678.00,231.00,8.6
705.02,Henry,3744.00,328.00,8.8
603.07,Rockdale,2759.00,245.00,8.9
504.23,Gwinnett,1706.00,153.00,9.0
9108,Carroll,1139.00,105.00,9.2
503,Pickens,1145.00,108.00,9.4
604.04,Rockdale,1603.00,151.00,9.4
9501,Appling,853.00,80.00,9.4
504.30,Gwinnett,1414.00,134.00,9.5
9501,Calhoun,432.00,41.00,9.5
507.12,Gwinnett,2033.00,196.00,9.6
602.02,Rockdale,2563.00,245.00,9.6
704.02,Henry,3083.00,300.00,9.7
805,Gilmer,1090.00,106.00,9.7
9103,Carroll,1541.00,149.00,9.7
507.28,Gwinnett,3671.00,359.00,9.8
9107.02,Carroll,2236.00,219.00,9.8
9501,White,838.00,82.00,9.8
77.06,Fulton,2008.00,199.00,9.9
505,Pickens,1253.00,128.00,10.2
506.09,Gwinnett,3097.00,317.00,10.2
507.25,Gwinnett,1475.00,150.00,10.2
505.32,Gwinnett,1867.00,195.00,10.4
804.03,Douglas,1224.00,127.00,10.4
701.08,Henry,1172.00,124.00,10.6
909.04,Cherokee,2239.00,240.00,10.7
505.45,Gwinnett,2932.00,316.00,10.8
701.10,Henry,2189.00,237.00,10.8
903,Early,306.00,33.00,10.8
908.02,Cherokee,2171.00,234.00,10.8
604.07,Rockdale,921.00,101.00,11.0
7901,Bleckley,1114.00,123.00,11.0
805.06,Douglas,1333.00,147.00,11.0
503,Fannin,675.00,75.00,11.1
9,Muscogee,505.00,56.00,11.1
805.10,Douglas,1972.00,221.00,11.2
9109,Carroll,995.00,111.00,11.2
89.04,Fulton,1039.00,117.00,11.3
503.14,Gwinnett,2249.00,257.00,11.4
505,Fannin,1390.00,158.00,11.4
53,Fulton,838.00,97.00,11.6
907.02,Cherokee,2066.00,240.00,11.6
9101.04,Carroll,2483.00,289.00,11.6
505.33,Gwinnett,2054.00,242.00,11.8
6,Whitfield,1181.00,139.00,11.8
910.03,Cherokee,1656.00,195.00,11.8
506.05,Gwinnett,3872.00,462.00,11.9
52,Fulton,1186.00,141.00,11.9
9111,Carroll,1501.00,178.00,11.9
6,Dougherty,766.00,92.00,12.0
6.01,Habersham,1050.00,126.00,12.0
701.07,Henry,1979.00,238.00,12.0
9,Hall,1270.00,152.00,12.0
9107.01,Carroll,2237.00,270.00,12.1
9501,Ware,473.00,57.00,12.1
507.19,Gwinnett,1292.00,157.00,12.2
89.03,Fulton,295.00,36.00,12.2
504.33,Gwinnett,544.00,67.00,12.3
9,Whitfield,907.00,112.00,12.4
504.32,Gwinnett,1422.00,179.00,12.6
9501,Greene,594.00,75.00,12.6
702.05,Henry,2836.00,361.00,12.7
507.21,Gwinnett,2142.00,273.00,12.8
806.04,Douglas,2626.00,338.00,12.9
9501,Grady,518.00,68.00,13.1
505.31,Gwinnett,2034.00,269.00,13.2
601.02,Rockdale,1422.00,188.00,13.2
906.02,Cherokee,2067.00,276.00,13.4
910.05,Cherokee,1856.00,248.00,13.4
9112,Carroll,1646.00,221.00,13.4
7,Whitfield,1269.00,172.00,13.6
701.13,Henry,1044.00,142.00,13.6
701.14,Henry,1460.00,203.00,13.9
9102,Carroll,3158.00,441.00,14.0
9501,Montgomery,536.00,75.00,14.0
9501,Tattnall,886.00,124.00,14.0
6,Hall,1181.00,167.00,14.1
801,Gilmer,1154.00,163.00,14.1
702.02,Crawford,923.00,131.00,14.2
504.36,Gwinnett,1706.00,244.00,14.3
9501,Irwin,607.00,87.00,14.3
507.23,Gwinnett,2038.00,293.00,14.4
77.03,Fulton,927.00,133.00,14.4
9104,Carroll,836.00,120.00,14.4
9501,Pulaski,361.00,52.00,14.4
507.22,Gwinnett,761.00,110.00,14.5
9501,Taylor,392.00,57.00,14.5
9201,Marion,1067.00,156.00,14.6
9201.01,Bryan,1434.00,210.00,14.6
507.09,Gwinnett,3039.00,446.00,14.7
7,Dougherty,415.00,61.00,14.7
804,Gilmer,2452.00,361.00,14.7
9105.01,Carroll,1248.00,184.00,14.7
504.35,Gwinnett,858.00,129.00,15.0
86.02,Fulton,253.00,38.00,15.0
503.15,Gwinnett,1177.00,178.00,15.1
804.04,Douglas,2231.00,338.00,15.2
803,Gilmer,1515.00,232.00,15.3
9501,Sumter,294.00,45.00,15.3
9501,Washington,518.00,79.00,15.3
701.11,Henry,2309.00,355.00,15.4
8903,Franklin,767.00,119.00,15.5
910.01,Cherokee,1166.00,181.00,15.5
505.20,Gwinnett,1128.00,176.00,15.6
8901.02,Franklin,1058.00,165.00,15.6
6,Glynn,1571.00,246.00,15.7
505.11,Gwinnett,2827.00,447.00,15.8
701.04,Henry,3515.00,559.00,15.9
703.04,Henry,2388.00,380.00,15.9
504,Pickens,1036.00,166.00,16.0
702.01,Crawford,1493.00,239.00,16.0
82.01,Fulton,1036.00,167.00,16.1
802.02,Douglas,2632.00,425.00,16.2
803.03,Douglas,921.00,149.00,16.2
9501,Worth,768.00,124.00,16.2
504.31,Gwinnett,2088.00,340.00,16.3
703.11,Henry,2811.00,462.00,16.4
92,Fulton,981.00,161.00,16.4
505.24,Gwinnett,1409.00,233.00,16.5
9203.03,Bryan,1745.00,288.00,16.5
805.05,Douglas,1144.00,192.00,16.8
701,Crawford,960.00,165.00,17.2
705.01,Henry,1948.00,334.00,17.2
701.06,Henry,1715.00,298.00,17.4
904,Cherokee,2294.00,403.00,17.6
7.02,Hall,1108.00,197.00,17.8
802.01,Douglas,1393.00,248.00,17.8
505.21,Gwinnett,1296.00,233.00,18.0
507.29,Gwinnett,796.00,145.00,18.2
83.01,Fulton,478.00,87.00,18.2
8902,Franklin,1512.00,275.00,18.2
505.41,Gwinnett,1155.00,211.00,18.3
505.46,Gwinnett,3636.00,670.00,18.4
505.35,Gwinnett,1922.00,355.00,18.5
9201.02,Bryan,1307.00,246.00,18.8
504.16,Gwinnett,814.00,154.00,18.9
906.01,Cherokee,1609.00,307.00,19.1
902,Mitchell,863.00,166.00,19.2
9106,Carroll,1775.00,341.00,19.2
64,Fulton,228.00,44.00,19.3
7902,Bleckley,483.00,93.00,19.3
9107.03,Carroll,2068.00,400.00,19.3
601,Twiggs,1153.00,224.00,19.4
8,Muscogee,525.00,102.00,19.4
905,Mitchell,1591.00,312.00,19.6
7.01,Hall,1559.00,307.00,19.7
7802,Wheeler,690.00,136.00,19.7
9501,Laurens,836.00,165.00,19.7
503.13,Gwinnett,1959.00,389.00,19.9
80,Fulton,1240.00,248.00,20.0
8802,Echols,603.00,122.00,20.2
504,Fannin,1828.00,371.00,20.3
6,Floyd,1059.00,215.00,20.3
801.03,Douglas,1429.00,292.00,20.4
502.20,Gwinnett,1417.00,292.00,20.6
7903,Bleckley,1152.00,237.00,20.6
505.26,Gwinnett,1043.00,216.00,20.7
7901,Randolph,406.00,84.00,20.7
503.04,Gwinnett,1056.00,222.00,21.0
504.24,Gwinnett,1660.00,348.00,21.0
505.36,Gwinnett,1157.00,243.00,21.0
9502,Burke,694.00,146.00,21.0
8904,Franklin,1277.00,269.00,21.1
505.39,Gwinnett,1359.00,290.00,21.3
504.19,Gwinnett,1706.00,365.00,21.4
78.02,Fulton,2020.00,432.00,21.4
9502,Appling,1120.00,243.00,21.7
505.37,Gwinnett,1140.00,250.00,21.9
6.02,Habersham,2017.00,441.00,21.9
9,Glynn,1025.00,224.00,21.9
901,Mitchell,882.00,193.00,21.9
904,Early,950.00,208.00,21.9
9501,Lanier,554.00,122.00,22.0
803.04,Douglas,1093.00,243.00,22.2
8901.01,Franklin,1073.00,238.00,22.2
801.02,Douglas,1809.00,406.00,22.4
66.01,Fulton,368.00,83.00,22.6
9202,Marion,938.00,212.00,22.6
94.02,Fulton,641.00,145.00,22.6
9101.01,Carroll,1482.00,343.00,23.1
9501,Burke,1497.00,345.00,23.1
7902,Randolph,1425.00,334.00,23.4
904,Mitchell,1538.00,360.00,23.4
83.02,Fulton,260.00,62.00,23.9
9501,Candler,1240.00,299.00,24.1
504.10,Gwinnett,1292.00,314.00,24.3
69,Fulton,680.00,166.00,24.4
602,Twiggs,894.00,224.00,25.1
78.05,Fulton,582.00,146.00,25.1
803.01,Douglas,2907.00,731.00,25.2
9501,Miller,471.00,120.00,25.5
9,Floyd,655.00,169.00,25.8
7801,Wheeler,740.00,193.00,26.1
602.01,Rockdale,925.00,242.00,26.2
503.06,Gwinnett,861.00,226.00,26.3
503.17,Gwinnett,742.00,195.00,26.3
503.20,Gwinnett,1192.00,313.00,26.3
77.04,Fulton,1174.00,312.00,26.6
62,Fulton,280.00,76.00,27.1
6.01,Chatham,764.00,211.00,27.6
603.08,Rockdale,1552.00,429.00,27.6
76.02,Fulton,633.00,175.00,27.7
603.09,Rockdale,1278.00,359.00,28.1
603.05,Rockdale,1217.00,348.00,28.6
503.19,Gwinnett,1381.00,397.00,28.8
603.04,Rockdale,1253.00,361.00,28.8
72,Fulton,469.00,135.00,28.8
65,Fulton,678.00,199.00,29.4
9,Dougherty,493.00,145.00,29.4
7,Richmond,167.00,50.00,29.9
71,Fulton,418.00,125.00,29.9
9501,Telfair,2122.00,635.00,29.9
7,Glynn,2049.00,614.00,30.0
504.22,Gwinnett,1828.00,550.00,30.1
8801,Echols,416.00,127.00,30.5
81.01,Fulton,259.00,80.00,30.9
505.22,Gwinnett,1106.00,346.00,31.3
504.21,Gwinnett,1755.00,551.00,31.4
905,Early,568.00,179.00,31.5
504.34,Gwinnett,1636.00,520.00,31.8
82.02,Fulton,469.00,150.00,32.0
901,Early,309.00,99.00,32.0
78.06,Fulton,1274.00,411.00,32.3
87,Fulton,741.00,239.00,32.3
9105.02,Carroll,573.00,186.00,32.5
504.17,Gwinnett,1167.00,381.00,32.7
505.42,Gwinnett,1108.00,363.00,32.8
58,Fulton,344.00,115.00,33.4
75,Fulton,436.00,147.00,33.7
81.02,Fulton,1505.00,507.00,33.7
902,Early,592.00,203.00,34.3
61,Fulton,854.00,294.00,34.4
903,Mitchell,534.00,189.00,35.4
55.02,Fulton,363.00,129.00,35.5
504.18,Gwinnett,1533.00,546.00,35.6
60,Fulton,530.00,192.00,36.2
9501,Stewart,490.00,178.00,36.3
70.01,Fulton,834.00,310.00,37.2
70.02,Fulton,455.00,177.00,38.9
6,Richmond,487.00,197.00,40.5
67,Fulton,588.00,238.00,40.5
8,Hall,609.00,254.00,41.7
63,Fulton,321.00,136.00,42.4
9502,Calhoun,741.00,316.00,42.7
77.05,Fulton,903.00,390.00,43.2
55.01,Fulton,400.00,176.00,44.0
76.04,Fulton,399.00,185.00,46.4
9,Richmond,295.00,139.00,47.1
6,Clarke,313.00,148.00,47.3
74,Fulton,455.00,219.00,48.1
86.01,Fulton,843.00,411.00,48.8
73,Fulton,1657.00,834.00,50.3
84,Fulton,376.00,192.00,51.1
8,Glynn,882.00,493.00,55.9
78.07,Fulton,680.00,393.00,57.8
76.03,Fulton,820.00,475.00,57.9
66.02,Fulton,260.00,153.00,58.9
9,Clarke,609.00,370.00,60.8
8,Dougherty,328.00,209.00,63.7
78.08,Fulton,993.00,784.00,79.0
68.01,Fulton,0.00,0.00,n/a
9601,Treutlen,382.00,0.00,0.0
9602,Baker,341.00,4.00,1.2
9601,Tift,728.00,13.00,1.8
9503.01,Greene,916.00,18.00,2.0
97,Fulton,1088.00,32.00,2.9
96.02,Fulton,1174.00,39.00,3.3
9502.02,Laurens,1236.00,44.00,3.6
9602.02,Troup,680.00,30.00,4.4
9601.02,Lumpkin,1719.00,77.00,4.5
9603,Troup,1090.00,55.00,5.1
96.03,Fulton,828.00,43.00,5.2
9502.02,White,948.00,50.00,5.3
9603,Putnam,1389.00,77.00,5.5
9610,Bartow,2063.00,115.00,5.6
9703,Baldwin,1526.00,90.00,5.9
9604.01,Bartow,2595.00,161.00,6.2
9609.02,Bartow,1793.00,112.00,6.3
9502.03,White,1594.00,102.00,6.4
9602.01,Troup,844.00,54.00,6.4
9609.02,Troup,1818.00,118.00,6.5
9604.02,Bartow,2308.00,155.00,6.7
9503,Pulaski,392.00,28.00,7.1
9601.02,Bartow,2739.00,206.00,7.5
9601.02,Putnam,1725.00,129.00,7.5
9602,Towns,915.00,69.00,7.5
9603,Johnson,468.00,36.00,7.7
9503.02,Greene,792.00,62.00,7.8
9703,Banks,1178.00,92.00,7.8
9603,Wilcox,382.00,30.00,7.9
9509,Burke,436.00,35.00,8.0
9703,Heard,741.00,59.00,8.0
9701,Dawson,2391.00,194.00,8.1
9701,Wayne,1100.00,90.00,8.2
9604,Wilcox,543.00,45.00,8.3
96.01,Fulton,388.00,33.00,8.5
9503,Miller,642.00,56.00,8.7
9704,Wayne,937.00,85.00,9.1
9603,Bartow,1889.00,175.00,9.3
9611,Troup,799.00,75.00,9.4
9605,Tift,1378.00,134.00,9.7
9702.01,Dawson,2045.00,200.00,9.8
9514,Laurens,709.00,70.00,9.9
9702,Stephens,1477.00,146.00,9.9
9502,Telfair,442.00,44.00,10.0
9601.01,Bartow,448.00,45.00,10.0
9604,Pierce,2127.00,215.00,10.1
9702,Banks,1328.00,135.00,10.2
9602,Jeff Davis,1627.00,168.00,10.3
9603,Towns,1015.00,106.00,10.4
9703.01,Rabun,980.00,103.00,10.5
9506,Worth,577.00,61.00,10.6
9601,Talbot,724.00,77.00,10.6
9602,Tift,821.00,87.00,10.6
9504,Sumter,656.00,70.00,10.7
9702.01,Rabun,844.00,90.00,10.7
9605,Hart,1830.00,197.00,10.8
9702.02,Dawson,2017.00,219.00,10.9
9506,Grady,655.00,72.00,11.0
9702,Long,1524.00,167.00,11.0
9504,Worth,1178.00,131.00,11.1
9608.03,Bartow,1437.00,159.00,11.1
9702.02,Bacon,1041.00,116.00,11.1
9703.02,Stephens,579.00,65.00,11.2
9703,Berrien,734.00,83.00,11.3
9701,Baldwin,1237.00,142.00,11.5
9610,Thomas,1023.00,120.00,11.7
9601.01,Lumpkin,1971.00,233.00,11.8
9602.01,Oglethorpe,1675.00,198.00,11.8
9603,Dodge,1754.00,209.00,11.9
9503,McDuffie,904.00,108.00,12.0
9602,Brooks,442.00,53.00,12.0
9602,Hart,990.00,119.00,12.0
9602,Bartow,2892.00,349.00,12.1
9609,Thomas,949.00,115.00,12.1
9702,Heard,1179.00,143.00,12.1
9702.01,Bacon,992.00,120.00,12.1
9505,Greene,476.00,58.00,12.2
9701,Decatur,1012.00,123.00,12.2
9701,Gordon,1725.00,210.00,12.2
9609,Tift,1013.00,125.00,12.3
9601,Dodge,603.00,75.00,12.4
9605,Thomas,1692.00,209.00,12.4
9607,Troup,1279.00,159.00,12.4
9601.01,Putnam,972.00,121.00,12.5
9505,Washington,1048.00,132.00,12.6
9602,Schley,627.00,79.00,12.6
9603,Jeff Davis,438.00,56.00,12.8
9701,Banks,1442.00,184.00,12.8
9601,Towns,1158.00,149.00,12.9
9606,Thomas,1590.00,208.00,13.1
9703,Turner,830.00,110.00,13.3
9506,Laurens,528.00,71.00,13.5
9701,Berrien,496.00,67.00,13.5
9601,Webster,360.00,49.00,13.6
9603,Brantley,1521.00,207.00,13.6
9601,Pierce,818.00,113.00,13.8
9602,Jefferson,574.00,79.00,13.8
9602,Thomas,1102.00,153.00,13.9
9607,Bartow,1541.00,214.00,13.9
9701,Stephens,1670.00,232.00,13.9
9703,Toombs,1628.00,226.00,13.9
9603,Oglethorpe,508.00,71.00,14.0
9602.02,Lumpkin,1309.00,184.00,14.1
9604,Troup,1454.00,205.00,14.1
9608.01,Bartow,829.00,117.00,14.1
9703,Dooly,1718.00,242.00,14.1
9704,Stephens,1904.00,270.00,14.2
9602.01,Lumpkin,2304.00,333.00,14.5
9603,Thomas,626.00,91.00,14.5
9701,Long,2199.00,321.00,14.6
9702,Gordon,1997.00,291.00,14.6
9505,Appling,1107.00,163.00,14.7
9603,Wilkinson,1058.00,155.00,14.7
9502,Montgomery,1005.00,151.00,15.0
9504,Tattnall,1181.00,177.00,15.0
9602,Brantley,1701.00,257.00,15.1
9606,Brooks,610.00,93.00,15.3
9611,Thomas,636.00,98.00,15.4
9601,Brantley,1667.00,258.00,15.5
9701,Colquitt,1384.00,214.00,15.5
9601,Hart,1703.00,265.00,15.6
9702,Emanuel,476.00,74.00,15.6
9703.01,Stephens,733.00,114.00,15.6
9508,Sumter,764.00,120.00,15.7
9602.01,Putnam,343.00,54.00,15.7
9506,Ware,1994.00,315.00,15.8
9505,Telfair,814.00,130.00,16.0
9602.02,Oglethorpe,1354.00,217.00,16.0
9604,Thomas,555.00,89.00,16.0
9604,Wilkinson,429.00,70.00,16.3
9605.02,Troup,1851.00,302.00,16.3
9609.01,Bartow,848.00,139.00,16.4
9503,Appling,1294.00,214.00,16.5
9606,Dodge,552.00,91.00,16.5
9704,Banks,937.00,155.00,16.5
9505,McDuffie,1423.00,236.00,16.6
9702,Screven,426.00,71.00,16.7
9505,Sumter,923.00,155.00,16.8
9704,Baldwin,782.00,131.00,16.8
9502,Grady,785.00,133.00,16.9
9505,Worth,1219.00,206.00,16.9
9606,Bartow,2486.00,421.00,16.9
9602,Jenkins,741.00,126.00,17.0
9602,Wilcox,344.00,59.00,17.2
9703,Lamar,890.00,154.00,17.3
9603,Cook,1591.00,277.00,17.4
9701,Bacon,719.00,125.00,17.4
9601,Baker,550.00,97.00,17.6
9703,Wayne,1107.00,195.00,17.6
9503,Tattnall,1235.00,218.00,17.7
9504,Grady,1567.00,278.00,17.7
9601,Jefferson,1135.00,201.00,17.7
9602,Pierce,541.00,96.00,17.7
9702,Lamar,1334.00,238.00,17.8
9702,Wayne,2146.00,382.00,17.8
9702.02,Rabun,683.00,122.00,17.9
9604,Tift,1485.00,267.00,18.0
9703,Emanuel,1053.00,190.00,18.0
9701,Heard,1097.00,198.00,18.1
9509,Ware,1216.00,221.00,18.2
9701,Lamar,1822.00,332.00,18.2
9701,Rabun,1397.00,255.00,18.3
9703,Screven,800.00,146.00,18.3
9502,Worth,1834.00,338.00,18.4
9604,Cook,1238.00,228.00,18.4
9503,Montgomery,516.00,96.00,18.6
9602,Johnson,1121.00,208.00,18.6
9702,Baldwin,1458.00,274.00,18.8
9702,Evans,1089.00,205.00,18.8
9602,Treutlen,1287.00,243.00,18.9
9603,Brooks,1419.00,269.00,19.0
9507,Laurens,699.00,134.00,19.2
9502.01,Tattnall,1344.00,260.00,19.4
9601,Troup,1425.00,276.00,19.4
9602,Webster,351.00,68.00,19.4
9504,Appling,419.00,82.00,19.6
9601,Oglethorpe,444.00,87.00,19.6
9603,Talbot,427.00,84.00,19.7
9502,Irwin,1474.00,292.00,19.8
9502.01,Laurens,1195.00,237.00,19.8
9602.02,Putnam,1553.00,308.00,19.8
9701,Evans,834.00,166.00,19.9
9702,Lincoln,1024.00,204.00,19.9
9503,White,2232.00,449.00,20.1
9505,Laurens,834.00,168.00,20.1
9504,Greene,301.00,61.00,20.3
9702,Colquitt,720.00,146.00,20.3
9701,Lincoln,1097.00,224.00,20.4
9502,Ware,1725.00,353.00,20.5
9602,Talbot,712.00,146.00,20.5
9602,Wilkinson,782.00,160.00,20.5
9604,Brooks,927.00,190.00,20.5
9610,Troup,1488.00,307.00,20.6
9602,Atkinson,1057.00,221.00,20.9
9609.01,Troup,1121.00,237.00,21.1
9702,Toombs,1261.00,268.00,21.3
9502.01,White,2261.00,483.00,21.4
9507,Washington,973.00,208.00,21.4
9601,Johnson,641.00,138.00,21.5
9608.02,Bartow,673.00,146.00,21.7
9605,Dodge,583.00,127.00,21.8
9605,Bartow,2093.00,462.00,22.1
9604,Jefferson,790.00,175.00,22.2
9702,Decatur,812.00,180.00,22.2
9701,Emanuel,1355.00,302.00,22.3
9502,Taylor,652.00,146.00,22.4
9511,Laurens,1179.00,265.00,22.5
9601,Jenkins,1422.00,320.00,22.5
9702,Turner,1356.00,305.00,22.5
9704,Screven,1143.00,257.00,22.5
9502,Pulaski,1848.00,418.00,22.6
9702,Berrien,1006.00,230.00,22.9
9508,Laurens,918.00,212.00,23.1
9608,Thomas,1366.00,316.00,23.1
9603,Pierce,1787.00,416.00,23.3
9602,Dodge,1018.00,238.00,23.4
9504,Washington,1413.00,335.00,23.7
9604,Dodge,954.00,226.00,23.7
9601,Schley,796.00,190.00,23.9
9602,Ben Hill,439.00,106.00,24.2
9603,Tift,1538.00,372.00,24.2
9603,Quitman,573.00,139.00,24.3
9503,Ware,509.00,125.00,24.6
9505,Ware,1417.00,348.00,24.6
9701,Toombs,1390.00,344.00,24.8
9704,Gordon,1285.00,318.00,24.8
9503,Grady,1216.00,303.00,24.9
9608,Tift,560.00,144.00,25.7
9703.02,Rabun,405.00,104.00,25.7
9601,Cook,559.00,145.00,25.9
9704,Colquitt,886.00,229.00,25.9
9601,Atkinson,406.00,106.00,26.1
9702,Clinch,383.00,100.00,26.1
9503,Candler,644.00,170.00,26.4
9505,Burke,1366.00,361.00,26.4
9510,Laurens,1788.00,473.00,26.5
9507,Burke,696.00,185.00,26.6
9601,Thomas,285.00,76.00,26.7
9703,Gordon,2047.00,548.00,26.8
9601,Ben Hill,598.00,161.00,26.9
9603,Atkinson,349.00,94.00,26.9
9703,Evans,899.00,242.00,26.9
9603,Ben Hill,849.00,230.00,27.1
9503,Washington,1218.00,331.00,27.2
9605,Brooks,673.00,184.00,27.3
9604,Hart,1455.00,398.00,27.4
9504,McDuffie,1306.00,359.00,27.5
9702,Dooly,550.00,151.00,27.5
9601,Jeff Davis,1849.00,513.00,27.7
9603,Jefferson,1224.00,342.00,27.9
9606,Troup,1262.00,352.00,27.9
9704,Emanuel,967.00,273.00,28.2
9502,Lanier,2091.00,592.00,28.3
9705,Baldwin,868.00,246.00,28.3
9703,Decatur,1372.00,389.00,28.4
9603,Clay,683.00,196.00,28.7
9503.03,Greene,975.00,282.00,28.9
9602,Cook,937.00,271.00,28.9
9502,Candler,1050.00,304.00,29.0
9508,Ware,1702.00,493.00,29.0
9603,Hart,968.00,285.00,29.4
9505,Grady,1813.00,534.00,29.5
9704,Toombs,998.00,297.00,29.8
9601,Wilcox,518.00,156.00,30.1
9604,Ben Hill,1015.00,311.00,30.6
9503,Taylor,1277.00,397.00,31.1
9502,Greene,527.00,166.00,31.5
9704,Warren,650.00,206.00,31.7
9701,Clinch,1222.00,391.00,32.0
9502,Miller,438.00,142.00,32.4
9502,Sumter,1660.00,540.00,32.5
9701,Dooly,1131.00,369.00,32.6
9703,Colquitt,1229.00,405.00,33.0
9504,Laurens,906.00,301.00,33.2
9503,Sumter,1583.00,529.00,33.4
9607,Tift,1008.00,342.00,33.9
9503,Laurens,355.00,124.00,34.9
9605,Ben Hill,1360.00,477.00,35.1
9507,Sumter,1430.00,515.00,36.0
9605.01,Troup,1042.00,376.00,36.1
9504,Burke,1273.00,473.00,37.2
9607,Thomas,1713.00,643.00,37.5
9502.02,Tattnall,928.00,349.00,37.6
9502,McDuffie,1457.00,550.00,37.8
9608,Troup,842.00,321.00,38.1
9704,Berrien,752.00,295.00,39.2
9504,Stewart,566.00,227.00,40.1
9507,Ware,317.00,133.00,42.0
9606,Tift,1578.00,729.00,46.2
9504,Ware,424.00,208.00,49.1
9704,Decatur,1149.00,582.00,50.7
9509,Laurens,527.00,277.00,52.6
99,Fulton,1113.00,0.00,0.0
98.01,Fulton,1168.00,20.00,1.7
98.02,Fulton,1162.00,28.00,2.4
9705,Colquitt,845.00,30.00,3.6
9706,Decatur,1233.00,71.00,5.8
9708,Gordon,1758.00,133.00,7.6
9705,Warren,680.00,65.00,9.6
9706,Toombs,770.00,77.00,10.0
9708,Meriwether,1279.00,131.00,10.2
9706,Wayne,926.00,99.00,10.7
9706,Screven,427.00,54.00,12.7
9705,Berrien,1014.00,132.00,13.0
9707,Meriwether,1953.00,260.00,13.3
9705,Emanuel,348.00,52.00,14.9
9707,Gordon,1316.00,196.00,14.9
9709,Gordon,1955.00,318.00,16.3
9707.01,Colquitt,1631.00,292.00,17.9
9705,Gordon,1286.00,237.00,18.4
9706,Emanuel,1191.00,222.00,18.6
9705,Screven,683.00,131.00,19.2
9708,Decatur,796.00,161.00,20.2
9709,Colquitt,1772.00,365.00,20.6
9706,Baldwin,683.00,145.00,21.2
9705,Meriwether,1558.00,334.00,21.4
9706,Colquitt,1714.00,380.00,22.2
9708,Baldwin,1616.00,368.00,22.8
9706,Gordon,1450.00,337.00,23.2
9706,Meriwether,906.00,211.00,23.3
9705,Toombs,925.00,223.00,24.1
9706,Berrien,924.00,223.00,24.1
9707.02,Baldwin,427.00,112.00,26.2
9707,Decatur,551.00,146.00,26.5
9708,Colquitt,732.00,196.00,26.8
9705,Wayne,745.00,204.00,27.4
9707.01,Baldwin,382.00,141.00,36.9
9707.02,Colquitt,403.00,181.00,44.9
9800,Bryan,0.00,0.00,n/a
9800,Chatham,0.00,0.00,n/a
9800,Clayton,0.00,0.00,n/a
9800,DeKalb,0.00,0.00,n/a
9800,Fulton,0.00,0.00,n/a
9800,Long,0.00,0.00,n/a
9800,McIntosh,0.00,0.00,n/a
211.03,Houston,3119.00,153.00,4.9
211.13,Houston,4841.00,435.00,9.0
211.08,Houston,1871.00,200.00,10.7
211.07,Houston,2451.00,332.00,13.6
210,Houston,1579.00,220.00,13.9
107.08,Richmond,1378.00,202.00,14.7
211.05,Houston,1542.00,287.00,18.6
107.06,Richmond,1119.00,243.00,21.7
211.04,Houston,1785.00,397.00,22.2
105.09,Richmond,1124.00,313.00,27.9
107.07,Richmond,627.00,178.00,28.4
105.06 Richmond,1146.00,363.00,31.7
105.04,Richmond,1477.00,490.00,33.2
57,Fulton,276.00,102.00,37.0
68.02,Fulton,358.00,320.00,89.4
106.06,Muscogee,0.00,0.00,n/a
231.15,DeKalb,0.00,0.00,n/a
231.14,DeKalb,565.00,134.00,23.7
232.04,DeKalb,1589.00,366.00,23.0
219.11,DeKalb,365.00,197.00,54.0
232.08,DeKalb,1490.00,278.00,18.7
232.09,DeKalb,1392.00,184.00,13.2
232.06,DeKalb,1665.00,308.00,18.5
232.10,DeKalb,1382.00,220.00,15.9
232.11,DeKalb,762.00,55.00,7.2
232.12,DeKalb,878.00,318.00,36.2
232.13,DeKalb,1375.00,188.00,13.7
232.14,DeKalb,1412.00,280.00,19.8
233.06,DeKalb,1761.00,263.00,14.9
233.09,DeKalb,2167.00,350.00,16.2
233.03,DeKalb,1499.00,226.00,15.1
101.14,Fulton,1420.00,126.00,8.9
101.15,Fulton,643.00,9.00,1.4
101.13,Fulton,1178.00,231.00,19.6
101.10,Fulton,1330.00,99.00,7.4
101.21,Fulton,500.00,25.00,5.0
101.22,Fulton,1660.00,54.00,3.3
101.23,Fulton,1050.00,145.00,13.8
101.17,Fulton,587.00,17.00,2.9
101.18,Fulton,1106.00,279.00,25.2
101.19,Fulton,884.00,306.00,34.6
101.20,Fulton,452.00,25.00,5.5
101.08,Fulton,1061.00,20.00,1.9
503.18,Gwinnett,580.00,63.00,10.9
