Census Tract,Total Families,Families in Poverty,Percent Families in Poverty
106.01,Fulton,654.00,180.00,27.50
106.01,Lowndes,1277.00,297.00,23.30
106.02,Camden,310.00,32.00,10.30
106.02,Dougherty,937.00,259.00,27.60
106.02,Muscogee,1132.00,160.00,14.10
106.03,Chatham,364.00,33.00,9.10
106.03,Fulton,785.00,320.00,40.80
106.04,Fulton,581.00,158.00,27.20
106.04,Lowndes,1368.00,125.00,9.10
106.05,Chatham,0.00,0.00,
106.05,Muscogee,1036.00,211.00,20.40
106.06,Muscogee,0.00,0.00,
106.07,Muscogee,1488.00,289.00,19.40
106.08,Muscogee,1129.00,186.00,16.50
107,Chatham,5525.00,203.00,3.70
107,Coffee,1523.00,275.00,18.10
107,Dougherty,1002.00,539.00,53.80
107,Lowndes,936.00,115.00,12.30
107,Murray,1403.00,261.00,18.60
107,Polk,1493.00,473.00,31.70
107.01,Jackson,524.00,34.00,6.50
107.01,Muscogee,1332.00,186.00,14.00
107.02,Jackson,2720.00,223.00,8.20
107.02,Muscogee,1110.00,195.00,17.60
107.03,Jackson,880.00,57.00,6.50
107.03,Muscogee,1407.00,315.00,22.40
107.06,Richmond,1119.00,243.00,21.70
107.07,Richmond,627.00,178.00,28.40
107.08,Richmond,1378.00,202.00,14.70
107.09,Richmond,1453.00,173.00,11.90
107.10,Richmond,1235.00,426.00,34.50
107.11,Richmond,712.00,239.00,33.60
107.12,Richmond,2147.00,355.00,16.50
108,Bibb,231.00,33.00,14.30
108,Fulton,1121.00,119.00,10.60
108,Lowndes,1159.00,487.00,42.00
108,Richmond,1041.00,85.00,8.20
108.01,Chatham,773.00,54.00,7.00
108.01,Coffee,1132.00,253.00,22.40
108.01,Muscogee,430.00,31.00,7.20
108.02,Chatham,2298.00,80.00,3.50
108.02,Coffee,1030.00,265.00,25.70
108.02,Muscogee,1454.00,70.00,4.80
108.03,Chatham,2588.00,170.00,6.60
108.06,Chatham,1515.00,97.00,6.40
108.07,Chatham,1477.00,74.00,5.00
108.08,Chatham,2710.00,419.00,15.50
108.09,Chatham,3059.00,179.00,5.90
109,Dougherty,415.00,37.00,8.90
109,Lowndes,383.00,158.00,41.30
109.01,Chatham,824.00,320.00,38.80
109.03,Richmond,1253.00,217.00,17.30
109.04,Richmond,851.00,134.00,15.80
109.05,Richmond,1208.00,279.00,23.10
109.06,Richmond,1659.00,146.00,8.80
11,Chatham,350.00,76.00,21.70
11,Dougherty,1638.00,718.00,43.80
11,Floyd,478.00,163.00,34.10
11,Fulton,669.00,41.00,6.10
11,Muscogee,678.00,58.00,8.60
11,Richmond,467.00,29.00,6.20
11,Whitfield,1292.00,209.00,16.20
11.01,Hall,873.00,431.00,49.40
11.02,Hall,931.00,264.00,28.40
110,Bibb,1115.00,410.00,36.80
110,Dougherty,701.00,59.00,8.40
110,Fulton,565.00,252.00,44.60
110,Lowndes,728.00,374.00,51.40
110,Richmond,94.00,0.00,0.00
110.03,Chatham,1563.00,122.00,7.80
